Drug1,Drug2,Loewe
ixabepilone,ifosfamide,-0.6552
clofarabine,vinorelbine,0.0501
ixabepilone,fulvestrant,-0.6543
mercaptopurine,pemetrexed,-0.1396
busulfan,cabazitaxel,-0.2566
ixabepilone,lapatinib,-0.6556
methotrexate,vinblastine,-0.5795
topotecan,pemetrexed,-0.0555
mercaptopurine,cytarabine,-0.1967
pemetrexed,exemestane,-0.4126
procarbazine,methotrexate,-0.5849
ixabepilone,pralatrexate,-0.6713
ixabepilone,nelarabine,-0.6692
ixabepilone,cyclophosphamide,-0.6891
ixabepilone,sunitinib,-0.6786
ixabepilone,imatinib,-0.6666
erlotinib,methotrexate,-0.5785
hydroxyurea,fluorouracil,-0.4873
methotrexate,exemestane,-0.3925
ixabepilone,capecitabine,-0.6639
mitoxantrone,vinorelbine,-0.1241
gemcitabine_hct,fluorouracil,-0.4682
methotrexate,teniposide_hct,-0.2087
methotrexate,fulvestrant,-0.6214
thioguanine,vinorelbine,-0.1066
clofarabine,teniposide_hct,-0.0001
ifosfamide,methotrexate,-0.5802
topotecan,romidepsin,-0.1474
cytarabine,mitoxantrone,-0.0419
ixabepilone,hydroxyurea,-0.7305
ixabepilone,imiquimod_hct,-0.6978
methotrexate,daunorubicin,-0.0954
clofarabine,etoposide,-0.1458
romidepsin,thioguanine,-0.1836
clofarabine,exemestane,-0.2326
daunorubicin,pemetrexed,-0.018
vorinostat,erlotinib,0.1765
imiquimod_hct,methotrexate,-0.6202
cytarabine,thioguanine,-0.1392
dacarbazine,cabazitaxel,-0.5104
romidepsin,mitoxantrone,-0.1668
pralatrexate,cabazitaxel,-0.2408
methotrexate,letrozole,-0.5941
estramustinephosphatesodium,methotrexate,-0.5345
docetaxel,pemetrexed,-0.0554
nilotinib,methotrexate,-0.5871
sorafenib,pemetrexed,-0.3028
sirolimus,fluorouracil,-0.2303
thioguanine,teniposide_hct,-0.0744
clofarabine,dexrazoxane,-0.1952
ixabepilone,dasatinib,-0.5959
paclitaxel,dexrazoxane,-0.1807
gemcitabine_hct,cladribine,-0.0774
hydroxyurea,cabazitaxel,-0.3329
fluorouracil,raloxifene,-0.5486
sunitinib,fluorouracil,-0.546
vorinostat,mk2206_hct,0.1679
thioguanine,etoposide,-0.0757
methotrexate,sirolimus,-0.5068
thioguanine,exemestane,-0.2991
nelarabine,methotrexate,-0.4998
clofarabine,chlorambucil,-0.2282
paclitaxel,vinorelbine,-0.2126
topotecan,dactolisib,-0.0161
etoposide,sunitinib,0.0053
paclitaxel,exemestane,-0.2218
vinblastine,thioguanine,-0.1383
docetaxel,mitoxantrone,-0.0336
abiraterone,cabazitaxel,-0.5766
ixabepilone,allopurinol,-0.6152
topotecan,thioguanine,-0.1213
sunitinib,cabazitaxel,-0.5112
thalidomide_hct,cabazitaxel,-0.3477
mitoxantrone,exemestane,-0.3459
ixabepilone,tamoxifen,-0.7722
mercaptopurine,mitoxantrone,-0.0425
methoxsalen,cabazitaxel,-0.4269
paclitaxel,etoposide,-0.1734
romidepsin,paclitaxel,-0.1031
ixabepilone,bendamustine,-0.6739
docetaxel,thioguanine,-0.1218
doxorubicin,bortezomib,-0.3391
vorinostat,lapatinib,0.1966
crizotinib,pemetrexed,-0.2839
cytarabine,exemestane,-0.2321
mepacrine,pemetrexed,-0.214
methotrexate,doxorubicin,-0.6485
topotecan,mitoxantrone,-0.0505
ixabepilone,sirolimus,-0.6671
capecitabine,cabazitaxel,-0.5803
mepacrine,thioguanine,-0.0631
paclitaxel,teniposide_hct,-0.2235
ixabepilone,thalidomide_hct,-0.6436
celecoxib,methotrexate,-0.5306
topotecan,gemcitabine_hct,-0.2593
temozolomide_hct,methotrexate,-0.5076
clofarabine,daunorubicin,0.0015
paclitaxel,gemcitabine_hct,0.0053
sorafenib,mitoxantrone,-0.3267
mercaptopurine,thioguanine,-0.0278
romidepsin,etoposide,-0.1897
ixabepilone,anastrozole,-0.668
pemetrexed,crizotinib,-0.294
cabazitaxel,crizotinib,-0.5183
topotecan,azacitidine,-0.2486
topotecan,paclitaxel,-0.2882
fulvestrant,cabazitaxel,-0.6002
cladribine,cabazitaxel,-0.5866
ixabepilone,nilotinib,-0.6641
thioguanine,chlorambucil,-0.2302
decitabine,valrubicin,-0.2785
methoxsalen,methotrexate,-0.5894
sirolimus,cytarabine,-0.2622
ixabepilone,celecoxib,-0.6736
dactinomycin,cabazitaxel,-0.4868
romidepsin,dactinomycin,-0.0829
topotecan,cladribine,-0.2426
mercaptopurine,romidepsin,-0.0343
axitinib,cabazitaxel,-0.5317
mitotane,fluorouracil,-0.5347
sirolimus,pemetrexed,-0.2898
chlorambucil,pemetrexed,-0.2511
pralatrexate,thioguanine,-0.1015
anastrozole,cytarabine,-0.3148
thalidomide_hct,methotrexate,-0.5932
vorinostat,pemetrexed,-0.245
mitotane,cabazitaxel,-0.4998
procarbazine,valrubicin,-0.4444
gemcitabine_hct,mercaptopurine,-0.0184
azacitidine,gemcitabine_hct,-0.1992
dactinomycin,fluorouracil,-0.6082
bortezomib,romidepsin,-0.1946
pralatrexate,pemetrexed,-0.166
allopurinol,methotrexate,-0.5938
estramustinephosphatesodium,pemetrexed,-0.4086
clofarabine,valrubicin,-0.2552
dasatinib,cabazitaxel,-0.4909
cytarabine,dexrazoxane,-0.2571
valrubicin,thiotepa,-0.1139
vismodegib,cabazitaxel,-0.6268
cytarabine,vinorelbine,-0.0509
sunitinib,cytarabine,-0.3143
paclitaxel,daunorubicin,-0.1221
thiotepa,thioguanine,-0.1457
pralatrexate,mitoxantrone,-0.1304
sunitinib,erlotinib,0.0659
gefitinib,cabazitaxel,-0.6819
sorafenib,thioguanine,-0.1969
mepacrine,mitoxantrone,-0.333
lapatinib,cytarabine,-0.3785
fludarabine,cytarabine,-0.523
topotecan,mercaptopurine,-0.2935
megestrolacetate,pemetrexed,-0.4146
romidepsin,dexrazoxane,-0.2038
bortezomib,azacitidine,-0.2675
cytarabine,teniposide_hct,-0.0216
busulfan,pemetrexed,-0.3609
bortezomib,gemcitabine_hct,-0.3714
romidepsin,vinorelbine,-0.1824
fludarabine,methotrexate,-0.4633
valrubicin,pemetrexed,-0.42
etoposide,vinorelbine,-0.1376
capecitabine,cytarabine,-0.3967
dasatinib,pemetrexed,-0.3676
topotecan,exemestane,-0.1775
romidepsin,gemcitabine_hct,-0.0302
paclitaxel,cladribine,0.1127
streptozocin,cabazitaxel,-0.6714
mercaptopurine,exemestane,-0.225
bortezomib,pemetrexed,-0.4093
methotrexate,gefitinib,-0.4718
fulvestrant,valrubicin,-0.3862
valrubicin,dasatinib,-0.464
romidepsin,teniposide_hct,-0.2175
methoxsalen,valrubicin,-0.5027
azacitidine,paclitaxel,-0.1383
fludarabine,cabazitaxel,-0.626
paclitaxel,dactinomycin,0.2226
methotrexate,altretamine,-0.4471
topotecan,mepacrine,-0.22
bortezomib,paclitaxel,-0.3425
thiotepa,pemetrexed,-0.2821
methotrexate,dacarbazine,-0.4376
etoposide,dexrazoxane,-0.1813
sunitinib,lapatinib,0.0656
dexrazoxane,vinorelbine,-0.2021
aminolevulinicacid,cabazitaxel,-0.318
etoposide,exemestane,-0.2773
lapatinib,cabazitaxel,-0.6618
decitabine,exemestane,-0.2226
azacitidine,cladribine,-0.0897
erlotinib,cabazitaxel,-0.5444
topotecan,vinorelbine,-0.1073
paclitaxel,chlorambucil,-0.228
docetaxel,exemestane,-0.2286
hydroxyurea,pemetrexed,-0.4784
cyclophosphamide,cabazitaxel,-0.284
vorinostat,thioguanine,-0.079
teniposide_hct,vinorelbine,-0.0164
aminolevulinicacid,pemetrexed,-0.461
sunitinib,mk2206_hct,-0.0545
mercaptopurine,vinorelbine,-0.0193
pralatrexate,cytarabine,-0.4309
cabazitaxel,axitinib,-0.6511
methoxsalen,pemetrexed,-0.4553
allopurinol,pemetrexed,-0.444
ifosfamide,cabazitaxel,-0.7359
busulfan,valrubicin,-0.2577
teniposide_hct,etoposide,-0.0035
pemetrexed,abiraterone,-0.4491
fulvestrant,cytarabine,-0.3253
vinorelbine,exemestane,-0.2391
mepacrine,romidepsin,-0.2775
thiotepa,mitoxantrone,-0.3265
pemetrexed,gefitinib,-0.4164
pralatrexate,valrubicin,-0.0954
cytarabine,daunorubicin,-0.0755
mitotane,cytarabine,-0.3588
docetaxel,dexrazoxane,-0.1169
imatinib,cabazitaxel,-0.6086
mepacrine,azacitidine,0.0525
docetaxel,vinorelbine,-0.1476
romidepsin,daunorubicin,-0.2187
busulfan,thioguanine,-0.3185
thioguanine,crizotinib,-0.1821
methotrexate,pazopanib,-0.4661
docetaxel,etoposide,-0.1183
valrubicin,cabazitaxel,-0.7706
lenalidomide_hct,cabazitaxel,-0.7108
vandetanib,cabazitaxel,-0.5965
altretamine,pemetrexed,-0.4595
teniposide_hct,exemestane,-0.2318
bortezomib,mepacrine,-0.2384
ixabepilone,letrozole,-0.6876
topotecan,dexrazoxane,-0.1632
ruxolitinib,cabazitaxel,-0.6243
fludarabine,mitoxantrone,-0.248
nelarabine,cabazitaxel,-0.494
vorinostat,dasatinib,0.1977
romidepsin,chlorambucil,-0.2209
gemcitabine_hct,pemetrexed,-0.3441
fludarabine,thioguanine,-0.2397
pemetrexed,pazopanib,-0.4524
sunitinib,dasatinib,-0.1398
streptozocin,valrubicin,-0.3583
cyclophosphamide,methotrexate,-0.5722
cytarabine,chlorambucil,-0.2713
vinblastine,etoposide,-0.1704
ixabepilone,pemetrexed,-0.4454
paclitaxel,axitinib,-0.4802
chlorambucil,etoposide,-0.2048
chlorambucil,teniposide_hct,-0.181
cytarabine,celecoxib,-0.565
doxorubicin,cytarabine,-0.4398
decitabine,vinorelbine,-0.21
docetaxel,teniposide_hct,-0.1324
docetaxel,valrubicin,-0.4795
dexrazoxane,exemestane,-0.1732
topotecan,etoposide,-0.1591
pemetrexed,doxorubicin,-0.4186
sirolimus,exemestane,-0.2469
thalidomide_hct,pemetrexed,-0.3953
topotecan,teniposide_hct,-0.1581
thioguanine,dacarbazine,-0.3688
tamoxifen,cytarabine,-0.4754
clofarabine,vismodegib,-0.3378
megestrolacetate,cabazitaxel,-0.6505
romidepsin,floxuridine,-0.147
cladribine,thioguanine,-0.1925
vorinostat,mitoxantrone,-0.2096
vinblastine,exemestane,-0.2346
decitabine,romidepsin,-0.3218
vinblastine,vinorelbine,-0.2325
paclitaxel,gefitinib,-0.3683
procarbazine,cabazitaxel,-0.6709
anastrozole,pemetrexed,-0.5215
pemetrexed,raloxifene,-0.4623
decitabine,etoposide,-0.1312
pralatrexate,etoposide,-0.0393
methotrexate,axitinib,-0.3904
decitabine,topotecan,-0.2064
chlorambucil,vinorelbine,-0.1935
mercaptopurine,paclitaxel,-0.1846
erlotinib,cytarabine,-0.5118
estramustinephosphatesodium,valrubicin,-0.4659
romidepsin,thiotepa,-0.2293
mitoxantrone,gefitinib,-0.5241
clofarabine,abiraterone,-0.319
decitabine,teniposide_hct,-0.1557
thioguanine,axitinib,-0.297
azacitidine,mitoxantrone,-0.2186
sorafenib,vinorelbine,-0.2078
pemetrexed,lenalidomide_hct,-0.4493
bortezomib,dactinomycin,-0.3621
mepacrine,exemestane,-0.3066
mepacrine,etoposide,-0.0918
crizotinib,thioguanine,-0.169
dasatinib,thioguanine,-0.2975
mercaptopurine,etoposide,-0.0312
topotecan,thiotepa,-0.4044
megestrolacetate,mitoxantrone,-0.4595
daunorubicin,exemestane,-0.2784
azacitidine,dactinomycin,0.0785
clofarabine,crizotinib,-0.1973
imiquimod_hct,cytarabine,-0.5895
mercaptopurine,teniposide_hct,-0.0125
cladribine,pemetrexed,-0.2983
clofarabine,megestrolacetate,-0.3293
cladribine,mitoxantrone,-0.2378
daunorubicin,etoposide,-0.1848
clofarabine,vandetanib,-0.3117
capecitabine,valrubicin,-0.2665
vinblastine,teniposide_hct,-0.1864
gemcitabine_hct,floxuridine,-0.1048
sorafenib,teniposide_hct,-0.2125
mepacrine,vinorelbine,-0.128
dacarbazine,mitoxantrone,-0.3287
mercaptopurine,cladribine,-0.0663
mepacrine,teniposide_hct,-0.1212
mercaptopurine,dexrazoxane,-0.1036
sorafenib,etoposide,-0.0744
decitabine,gemcitabine_hct,-0.2057
mepacrine,cladribine,-0.0697
bendamustine,cabazitaxel,-0.7557
clofarabine,dacarbazine,-0.3028
chlorambucil,exemestane,-0.1095
vorinostat,romidepsin,-0.5354
bortezomib,thioguanine,-0.3377
paclitaxel,thiotepa,-0.0843
streptozocin,mitoxantrone,-0.3167
raloxifene,cabazitaxel,-0.7667
mepacrine,mercaptopurine,0.0087
pemetrexed,vismodegib,-0.4567
cyclophosphamide,pemetrexed,-0.4446
dasatinib,cytarabine,-0.3306
sorafenib,exemestane,-0.1632
aminolevulinicacid,thioguanine,-0.4006
clofarabine,pazopanib,-0.3628
docetaxel,daunorubicin,-0.0615
daunorubicin,vinorelbine,-0.0932
bortezomib,mitoxantrone,-0.2608
vorinostat,geldanamycin_hct,-0.0703
allopurinol,thioguanine,-0.3856
paclitaxel,vismodegib,-0.5113
topotecan,daunorubicin,-0.0198
paclitaxel,floxuridine,-0.0227
methoxsalen,mitoxantrone,-0.3864
vorinostat,gemcitabine_hct,-0.2432
mepacrine,paclitaxel,-0.1837
fulvestrant,pemetrexed,-0.4604
paclitaxel,altretamine,-0.2901
decitabine,cladribine,-0.2565
vorinostat,vinorelbine,-0.1328
vorinostat,exemestane,-0.2581
mitotane,pemetrexed,-0.4967
daunorubicin,teniposide_hct,-0.1332
letrozole,pemetrexed,-0.4733
sorafenib,dexrazoxane,-0.0595
sirolimus,vinorelbine,-0.2528
pemetrexed,vemurafenib_hct,-0.4487
topotecan,dasatinib,-0.3519
clofarabine,raloxifene,-0.3471
valrubicin,hydroxyurea,-0.3947
paclitaxel,dacarbazine,-0.3186
thiotepa,exemestane,-0.22
sunitinib,pemetrexed,-0.4327
vorinostat,etoposide,-0.0995
nilotinib,pemetrexed,-0.4609
topotecan,aminolevulinicacid,-0.3064
thioguanine,vismodegib,-0.3878
thiotepa,vinorelbine,-0.2163
pemetrexed,vandetanib,-0.4256
letrozole,cabazitaxel,-0.4144
ixabepilone,mitoxantrone,-0.3308
sirolimus,valrubicin,-0.2529
clofarabine,altretamine,-0.3681
pemetrexed,ruxolitinib,-0.4277
clofarabine,vemurafenib_hct,-0.3654
hydroxyurea,exemestane,-0.2952
thioguanine,vemurafenib_hct,-0.3781
cabazitaxel,pazopanib,-0.6629
cytarabine,crizotinib,-0.2347
azacitidine,thiotepa,-0.071
mercaptopurine,chlorambucil,-0.0991
thioguanine,megestrolacetate,-0.4379
celecoxib,thioguanine,-0.3802
letrozole,thioguanine,-0.417
bortezomib,busulfan,-0.2963
romidepsin,clofarabine,-0.2667
decitabine,daunorubicin,-0.1795
mitotane,thioguanine,-0.4234
romidepsin,docetaxel,-0.2514
mercaptopurine,daunorubicin,-0.0808
sunitinib,thioguanine,-0.4095
ifosfamide,valrubicin,-0.4683
paclitaxel,abiraterone,-0.5501
capecitabine,pemetrexed,-0.4844
docetaxel,chlorambucil,-0.2127
sirolimus,etoposide,-0.2048
bortezomib,vorinostat,-0.2276
crizotinib,exemestane,-0.201
nelarabine,cytarabine,-0.3956
pemetrexed,axitinib,-0.3717
imatinib,pemetrexed,-0.4853
mercaptopurine,thiotepa,-0.0419
busulfan,romidepsin,-0.3119
sirolimus,teniposide_hct,-0.2135
lapatinib,pemetrexed,-0.4555
vorinostat,teniposide_hct,-0.1327
paclitaxel,ruxolitinib,-0.5471
cladribine,thiotepa,-0.2694
vemurafenib_hct,pemetrexed,-0.4839
gemcitabine_hct,thiotepa,-0.1099
pralatrexate,dexrazoxane,-0.0252
ixabepilone,thioguanine,-0.3654
thiotepa,etoposide,-0.1203
bendamustine,thioguanine,-0.3515
etoposide,lapatinib,0.0874
decitabine,paclitaxel,-0.1337
vorinostat,cladribine,-0.1018
docetaxel,paclitaxel,-0.1222
temozolomide_hct,pemetrexed,-0.5102
thalidomide_hct,gemcitabine_hct,-0.2786
fluorouracil,veliparib,0.177
azacitidine,exemestane,-0.3048
letrozole,mitoxantrone,-0.4486
imiquimod_hct,mitoxantrone,-0.3868
crizotinib,etoposide,-0.0783
topotecan,ifosfamide,-0.303
romidepsin,crizotinib,-0.275
capecitabine,mitoxantrone,-0.442
topotecan,lapatinib,-0.314
nelarabine,pemetrexed,-0.5016
vinblastine,daunorubicin,-0.0417
anastrozole,valrubicin,-0.5035
vorinostat,paclitaxel,-0.0925
etoposide,erlotinib,0.0259
vemurafenib_hct,thioguanine,-0.4466
cytarabine,lenalidomide_hct,-0.3082
dacarbazine,pemetrexed,-0.4037
etoposide,crizotinib,-0.113
paclitaxel,raloxifene,-0.4616
topotecan,chlorambucil,-0.199
etoposide,mk2206_hct,0.0285
azacitidine,floxuridine,-0.1149
topotecan,allopurinol,-0.3757
thiotepa,dexrazoxane,-0.0648
paclitaxel,megestrolacetate,-0.3624
decitabine,chlorambucil,-0.1501
romidepsin,sirolimus,-0.2522
vorinostat,azacitidine,-0.0601
romidepsin,gefitinib,-0.2852
chlorambucil,daunorubicin,-0.1398
hydroxyurea,vinorelbine,-0.3261
temozolomide_hct,thioguanine,-0.4334
cladribine,floxuridine,-0.1986
busulfan,exemestane,-0.2131
azacitidine,vinorelbine,-0.1764
cytarabine,gefitinib,-0.3373
busulfan,paclitaxel,-0.1782
bortezomib,docetaxel,-0.4121
clofarabine,gefitinib,-0.342
dactinomycin,pemetrexed,-0.5501
estramustinephosphatesodium,mitoxantrone,-0.3116
decitabine,mercaptopurine,-0.1545
romidepsin,fludarabine,-0.2626
thalidomide_hct,mitoxantrone,-0.4669
gemcitabine_hct,thioguanine,-0.311
mepacrine,chlorambucil,-0.1999
thioguanine,abiraterone,-0.326
imatinib,thioguanine,-0.4518
thalidomide_hct,exemestane,-0.2488
mepacrine,dactinomycin,-0.1794
exemestane,crizotinib,-0.2396
bortezomib,doxorubicin,-0.3519
topotecan,temozolomide_hct,-0.4217
temozolomide_hct,mitoxantrone,-0.3911
geldanamycin_hct,topotecan,-0.1647
clofarabine,lenalidomide_hct,-0.3125
mepacrine,daunorubicin,-0.2315
decitabine,azacitidine,-0.2116
procarbazine,thioguanine,-0.3774
methotrexate,raloxifene,-0.4838
busulfan,gemcitabine_hct,-0.2315
topotecan,thalidomide_hct,-0.0482
pralatrexate,exemestane,-0.1152
methoxsalen,romidepsin,-0.3284
dacarbazine,vinorelbine,-0.2263
topotecan,nilotinib,-0.3477
gemcitabine_hct,mitoxantrone,-0.2806
floxuridine,megestrolacetate,-0.3926
fludarabine,etoposide,-0.1569
ixabepilone,etoposide,-0.2022
etoposide,vorinostat,-0.0654
teniposide_hct,crizotinib,-0.0711
thiotepa,teniposide_hct,-0.2147
romidepsin,vandetanib,-0.2676
topotecan,vinblastine,-0.4729
clofarabine,cladribine,-0.1264
topotecan,imatinib,-0.3495
vinblastine,bortezomib,-0.1658
floxuridine,dactinomycin,-0.1074
dasatinib,romidepsin,-0.2945
cytarabine,dacarbazine,-0.3529
fludarabine,vinorelbine,-0.2525
bendamustine,valrubicin,-0.1242
etoposide,axitinib,-0.1776
bortezomib,exemestane,-0.2639
topotecan,anastrozole,-0.4683
vorinostat,dexrazoxane,-0.0795
vinblastine,chlorambucil,-0.2208
pralatrexate,vinorelbine,-0.1056
thioguanine,doxorubicin,-0.3344
topotecan,fludarabine,-0.453
busulfan,teniposide_hct,-0.2986
cytarabine,abiraterone,-0.3365
busulfan,azacitidine,-0.2624
bortezomib,sunitinib,-0.3397
romidepsin,lenalidomide_hct,-0.2737
hydroxyurea,romidepsin,-0.2228
pralatrexate,teniposide_hct,-0.0833
cytarabine,axitinib,-0.331
estramustinephosphatesodium,vinorelbine,-0.3092
vorinostat,dactinomycin,-0.0124
topotecan,imiquimod_hct,-0.3219
azacitidine,docetaxel,-0.1707
bortezomib,imiquimod_hct,-0.3128
streptozocin,romidepsin,-0.2813
pralatrexate,romidepsin,-0.5492
gemcitabine_hct,mitotane,-0.2564
valrubicin,nelarabine,-0.6829
etoposide,doxorubicin,-0.353
romidepsin,axitinib,-0.2725
procarbazine,romidepsin,-0.2963
cytarabine,ruxolitinib,-0.3151
exemestane,gefitinib,-0.2734
romidepsin,temozolomide_hct,-0.2913
topotecan,nelarabine,-0.3932
paclitaxel,sirolimus,-0.0309
bendamustine,romidepsin,-0.2494
romidepsin,tamoxifen,-0.3
romidepsin,abiraterone,-0.3238
mercaptopurine,dasatinib,0.1266
mercaptopurine,floxuridine,-0.213
methoxsalen,thioguanine,-0.4162
mepacrine,thiotepa,-0.0029
teniposide_hct,abiraterone,-0.2164
ixabepilone,vinorelbine,-0.2137
romidepsin,letrozole,-0.2886
thalidomide_hct,romidepsin,-0.3125
celecoxib,vinorelbine,-0.3287
erlotinib,thioguanine,-0.3868
mercaptopurine,pralatrexate,-0.1136
cladribine,vinorelbine,-0.2049
sunitinib,exemestane,-0.3159
megestrolacetate,vinorelbine,-0.3124
fulvestrant,exemestane,-0.2965
azacitidine,clofarabine,-0.1355
dasatinib,cladribine,-0.1676
sirolimus,dexrazoxane,-0.11
cytarabine,vismodegib,-0.3487
dactinomycin,mitoxantrone,-0.5279
ixabepilone,exemestane,-0.2761
sunitinib,cladribine,-0.1957
estramustinephosphatesodium,teniposide_hct,-0.2989
aminolevulinicacid,vinorelbine,-0.261
bortezomib,allopurinol,-0.3681
estramustinephosphatesodium,etoposide,-0.2668
pralatrexate,azacitidine,-0.6024
mitoxantrone,ruxolitinib,-0.3392
dexrazoxane,crizotinib,-0.1068
etoposide,abiraterone,-0.2461
vinorelbine,lenalidomide_hct,-0.2681
bortezomib,erlotinib,-0.4714
topotecan,streptozocin,0.0516
romidepsin,celecoxib,-0.2903
capecitabine,thioguanine,-0.4075
gemcitabine_hct,clofarabine,-0.0687
romidepsin,megestrolacetate,-0.3283
romidepsin,imatinib,-0.2527
celecoxib,etoposide,-0.3152
thiotepa,daunorubicin,-0.1726
mepacrine,floxuridine,-0.1365
sorafenib,daunorubicin,-0.2216
cytarabine,vandetanib,-0.3569
mepacrine,vorinostat,-0.1349
altretamine,teniposide_hct,-0.2951
exemestane,vandetanib,-0.2679
topotecan,methoxsalen,0.0022
azacitidine,tamoxifen,-0.1959
busulfan,cladribine,-0.3312
gemcitabine_hct,fulvestrant,-0.2364
dacarbazine,exemestane,-0.2667
ixabepilone,teniposide_hct,-0.231
cyclophosphamide,romidepsin,-0.354
ifosfamide,mitoxantrone,-0.3353
paclitaxel,lenalidomide_hct,-0.2915
topotecan,cyclophosphamide,0.0091
allopurinol,etoposide,-0.2917
cytarabine,vemurafenib_hct,-0.3501
teniposide_hct,raloxifene,-0.1979
pralatrexate,gemcitabine_hct,-0.6782
bortezomib,etoposide,-0.2343
thiotepa,chlorambucil,-0.0644
vorinostat,daunorubicin,-0.1589
procarbazine,exemestane,-0.2694
azacitidine,teniposide_hct,-0.1319
sunitinib,geldanamycin_hct,-0.4308
cladribine,exemestane,-0.3135
romidepsin,ruxolitinib,-0.3213
docetaxel,crizotinib,-0.3155
pralatrexate,paclitaxel,-0.6519
ifosfamide,romidepsin,-0.3351
hydroxyurea,cladribine,-0.2181
romidepsin,pazopanib,-0.3262
fulvestrant,romidepsin,-0.2826
tamoxifen,exemestane,-0.2677
sorafenib,paclitaxel,-0.2487
romidepsin,vinblastine,-0.3171
bortezomib,teniposide_hct,-0.2104
azacitidine,daunorubicin,-0.0695
sorafenib,chlorambucil,-0.1103
fludarabine,cladribine,-0.4573
pralatrexate,cladribine,-0.4861
sunitinib,vinorelbine,-0.2991
teniposide_hct,gefitinib,-0.3134
cyclophosphamide,azacitidine,-0.2774
sunitinib,azacitidine,-0.223
streptozocin,vinorelbine,-0.2999
mitotane,romidepsin,-0.3642
aminolevulinicacid,gemcitabine_hct,-0.2468
aminolevulinicacid,exemestane,-0.3322
mercaptopurine,vorinostat,-0.0644
vorinostat,topotecan,-0.4075
etoposide,vandetanib,-0.2622
romidepsin,altretamine,-0.3337
topotecan,fulvestrant,-0.383
allopurinol,exemestane,-0.3588
exemestane,abiraterone,-0.2564
nilotinib,mitoxantrone,-0.4721
nilotinib,exemestane,-0.3124
etoposide,vemurafenib_hct,-0.2604
cyclophosphamide,gemcitabine_hct,-0.2758
aminolevulinicacid,etoposide,-0.3158
procarbazine,paclitaxel,-0.1681
sirolimus,cladribine,-0.1606
paclitaxel,tamoxifen,-0.2956
cytarabine,raloxifene,-0.3671
teniposide_hct,lenalidomide_hct,-0.2691
streptozocin,thioguanine,-0.3645
gemcitabine_hct,imatinib,-0.2315
bortezomib,bendamustine,-0.6834
imiquimod_hct,thioguanine,-0.4282
mitoxantrone,lenalidomide_hct,-0.3663
streptozocin,gemcitabine_hct,-0.281
streptozocin,cladribine,-0.2761
lapatinib,gemcitabine_hct,-0.2899
estramustinephosphatesodium,romidepsin,-0.2875
cyclophosphamide,vinorelbine,-0.3016
erlotinib,paclitaxel,-0.3258
valrubicin,etoposide,-0.3028
busulfan,vinorelbine,-0.2675
topotecan,sorafenib,-0.2734
crizotinib,vinorelbine,-0.1784
letrozole,exemestane,-0.3281
etoposide,vismodegib,-0.2831
streptozocin,etoposide,-0.2607
allopurinol,vinorelbine,-0.3102
thalidomide_hct,thioguanine,-0.5246
bortezomib,pralatrexate,-0.4689
estramustinephosphatesodium,topotecan,-0.391
busulfan,etoposide,-0.2684
sorafenib,gemcitabine_hct,-0.2623
lapatinib,romidepsin,-0.363
topotecan,crizotinib,-0.1971
streptozocin,teniposide_hct,-0.2676
mitotane,exemestane,-0.3258
altretamine,etoposide,-0.3385
azacitidine,fulvestrant,-0.2192
paclitaxel,vandetanib,-0.5439
mercaptopurine,fludarabine,-0.152
erlotinib,gemcitabine_hct,-0.303
etoposide,raloxifene,-0.2792
fulvestrant,etoposide,-0.2944
hydroxyurea,thioguanine,-0.4021
streptozocin,azacitidine,-0.3261
cyclophosphamide,etoposide,-0.3214
fulvestrant,gemcitabine_hct,-0.2848
romidepsin,nilotinib,-0.2649
erlotinib,cladribine,-0.3352
etoposide,ruxolitinib,-0.2618
erlotinib,exemestane,-0.3246
dasatinib,azacitidine,-0.191
romidepsin,capecitabine,-0.3563
lapatinib,thioguanine,-0.441
imiquimod_hct,romidepsin,-0.3497
hydroxyurea,mitoxantrone,-0.4109
azacitidine,chlorambucil,-0.1445
fludarabine,daunorubicin,-0.0995
valrubicin,mitoxantrone,-0.4332
clofarabine,ruxolitinib,-0.341
aminolevulinicacid,teniposide_hct,-0.31
anastrozole,romidepsin,-0.1998
streptozocin,paclitaxel,-0.2821
docetaxel,gemcitabine_hct,-0.2048
cytarabine,altretamine,-0.3981
aminolevulinicacid,paclitaxel,-0.2685
bendamustine,azacitidine,-0.2762
procarbazine,azacitidine,-0.3438
vinblastine,crizotinib,-0.2761
lapatinib,exemestane,-0.3099
romidepsin,vemurafenib_hct,-0.3131
capecitabine,exemestane,-0.3516
paclitaxel,nilotinib,-0.212
methoxsalen,vinorelbine,-0.2785
procarbazine,cladribine,-0.3417
gemcitabine_hct,nelarabine,-0.2354
nelarabine,exemestane,-0.3431
anastrozole,exemestane,-0.3477
fulvestrant,teniposide_hct,-0.3265
imiquimod_hct,exemestane,-0.3539
bortezomib,celecoxib,-0.3767
sirolimus,daunorubicin,-0.1401
etoposide,dasatinib,0.0834
gemcitabine_hct,bendamustine,-0.2008
etoposide,lenalidomide_hct,-0.3504
gemcitabine_hct,nilotinib,-0.2193
procarbazine,etoposide,-0.2744
paclitaxel,temozolomide_hct,-0.1763
anastrozole,mitoxantrone,-0.422
mitotane,etoposide,-0.3219
sunitinib,paclitaxel,-0.325
imatinib,exemestane,-0.3217
vinorelbine,pazopanib,-0.4088
azacitidine,letrozole,-0.2581
